ref	kind	state	detail
refs/heads/add-slippage	local-branch	ON_MASTER	commits reachable from master (verified: git merge-base --is-ancestor)
refs/heads/agent/soak-100b	local-branch	ON_MASTER	commits reachable from master (verified: git merge-base --is-ancestor)
refs/heads/agents/pasted-text-processing	local-branch	ON_MASTER	commits reachable from master (verified: git merge-base --is-ancestor)
refs/heads/agents/setup-instructions-request	local-branch	ON_MASTER	commits reachable from master (verified: git merge-base --is-ancestor)
refs/heads/archive/pr126-pre-master-rewrite-20260909	local-branch	UNRELATED_LINEAGE	shares no history with master; preserved, must not be deleted
refs/heads/archive/stale-x3lang-trading-wip-20260918	local-branch	ON_MASTER	commits reachable from master (verified: git merge-base --is-ancestor)
refs/heads/backup/x3-mcp-before-sync	local-branch	ON_MASTER	commits reachable from master (verified: git merge-base --is-ancestor)
refs/heads/batch/20260918T175104Z	local-branch	ON_MASTER	commits reachable from master (verified: git merge-base --is-ancestor)
refs/heads/batch/20260918T2015Z	local-branch	ON_MASTER	commits reachable from master (verified: git merge-base --is-ancestor)
refs/heads/build/atomic-swap-no-std-port	local-branch	ON_MASTER	commits reachable from master (verified: git merge-base --is-ancestor)
refs/heads/build/make-runtime-upgrade-real	local-branch	ON_MASTER	commits reachable from master (verified: git merge-base --is-ancestor)
refs/heads/build/re-attest-603398a38	local-branch	ON_MASTER	commits reachable from master (verified: git merge-base --is-ancestor)
refs/heads/build/re-attest-runtime-hash	local-branch	ON_MASTER	commits reachable from master (verified: git merge-base --is-ancestor)
refs/heads/build/srtool-reproducible-wasm	local-branch	ON_MASTER	commits reachable from master (verified: git merge-base --is-ancestor)
refs/heads/build/verify-reproducible-hash	local-branch	ON_MASTER	commits reachable from master (verified: git merge-base --is-ancestor)
refs/heads/chore/cleanup-tracked-artifacts-20260921	local-branch	ON_MASTER	commits reachable from master (verified: git merge-base --is-ancestor)
refs/heads/chore/exclude-superseded-governance	local-branch	ON_MASTER	commits reachable from master (verified: git merge-base --is-ancestor)
refs/heads/chore/local-ci-toolchain-mix-classification	local-branch	ON_MASTER	commits reachable from master (verified: git merge-base --is-ancestor)
refs/heads/chore/reattest-runtime-hashes-04fb44907	local-branch	ON_MASTER	commits reachable from master (verified: git merge-base --is-ancestor)
refs/heads/chore/remove-forge-std-docs-duplicate	local-branch	ON_MASTER	commits reachable from master (verified: git merge-base --is-ancestor)
refs/heads/chore/remove-nested-cursor-todo-state	local-branch	ON_MASTER	commits reachable from master (verified: git merge-base --is-ancestor)
refs/heads/chore/reqwest-0.12-rust-highs	local-branch	ON_MASTER	commits reachable from master (verified: git merge-base --is-ancestor)
refs/heads/chore/wire-orphan-runtime-tests	local-branch	ON_MASTER	commits reachable from master (verified: git merge-base --is-ancestor)
refs/heads/ci/cap-cargo-parallelism	local-branch	ON_MASTER	commits reachable from master (verified: git merge-base --is-ancestor)
