feature,subsystem,claimed_behavior,status,completion_pct,evidence_quality,evidence,test_coverage,security_significance,missing_work
Aura block production,Consensus,Slot-based leader election,VERIFIED,95,Confirmed by static inspection,node/src/service.rs:1059 real sc_consensus_aura,Framework-tested upstream,High,Dynamic multi-node re-execution this session
GRANDPA finality,Consensus,BFT finality gadget,VERIFIED,90,Confirmed by static inspection + artifact,node/src/service.rs:1119-1136; .testnet-audit/mesh-2026-09-04/*,Loopback mesh artifacts (not re-executed this session),High,Cross-host (non-loopback) proof
GRANDPA equivocation slashing,Consensus,Byzantine double-vote detection,VERIFIED,90,Confirmed by static inspection,runtime/src/lib.rs:160-224 real EquivocationProof check,Framework-tested upstream,High,None identified
Public misbehavior-report slashing,Consensus,Report validator misbehavior,PLACEHOLDER,20,Confirmed by static inspection,pallets/x3-consensus/src/lib.rs:262-278 no evidence required,None found,Critical,Require real proof per SlashReason (CRITICAL-CN-1)
Validator set management,Consensus,Enrollment/stake/delegation,PARTIAL,30,Confirmed by static inspection,pallets/x3-consensus/src/lib.rs:229-235 root-only; no pallet_staking,None applicable,High,Permissionless staking/bonding (deferred to M3)
Dev/testnet key insertion (X3_DEV_SEED),Consensus,Programmatic Aura+GRANDPA key insert,VERIFIED,100,Confirmed by static inspection,node/src/service.rs:323-365,n/a,Medium,None
Chain-spec / genesis generation,Consensus,Fresh non-forbidden-seed keys,VERIFIED,95,Confirmed by static inspection,scripts/testnet/build-x3-testnet-spec.py:35 real CSPRNG,n/a,High,None
Mainnet-scope compile guards (parallel-executor/external-gateway),Consensus/Governance,Compile-time exclusion from mainnet-rc1,VERIFIED,100,Confirmed by static inspection,pallets/x3-cross-vm-router/src/lib.rs:55-65,n/a,High,Centralize guard pattern across pallets
Multi-node mesh resilience (8/8 cold-start; 7/7 kill-survival),Consensus/Networking,Byzantine resilience under node loss,IMPLEMENTED BUT UNVERIFIED,60,Claimed by documentation + real-looking artifact,.testnet-audit/mesh-2026-09-04/*.txt,Not re-executed this session,High,Cross-host re-proof
Node RPC wallet service (wallet_*),APIs/Wallets,Wallet create/import/sign/balance,PLACEHOLDER,0,Confirmed by static inspection,crates/x3-rpc/src/wallet_service_rpc.rs:314-439,None meaningful,Critical,Full rewrite or removal (CRITICAL-TX-1)
x3_submitCrossVmTransaction RPC,Transaction lifecycle,Bridge deposit relay ingress,IMPLEMENTED,70,Confirmed by static inspection,node/src/rpc.rs:954-1130 real signed extrinsic submission,Not independently executed,High,Multi-signer quorum (HIGH-TX-2)
Nonce/replay protection,Transaction lifecycle,Standard replay protection,VERIFIED,100,Confirmed by static inspection,frame_system::CheckNonce used throughout,Framework-tested upstream,High,None
Fee mechanism,Transaction lifecycle,Fee calc/metering,VERIFIED,80,Confirmed by static inspection,runtime/src/lib.rs:1084-1095 no congestion pricing,Framework-tested upstream,Medium,Dynamic fee multiplier (MEDIUM-TX-3)
Mempool bounds,Transaction lifecycle,Capacity limits/spam resistance,IMPLEMENTED BUT UNVERIFIED,70,Confirmed by static inspection,node/src/service.rs:371-392,Not load-tested,Medium,Sustained flood test (LOW-TX-4)
Canonical supply invariant,State/Tokenomics,canonical_supply >= represented_total,VERIFIED,90,Confirmed by static inspection,pallets/x3-supply-ledger/src/lib.rs:155-190 checked arithmetic,Not re-run this session,Critical,Re-run invariant tests live
Storage migrations (10 pallets),State/Storage,Real OnRuntimeUpgrade migrations,PARTIAL,40,Confirmed by static inspection,identical boilerplate version-bump only in all examined files,Never exercised against a real schema change,High,Real migration rehearsal (MEDIUM-ST-1)
Runtime-upgrade rehearsal (try-runtime),State/Storage,CI-gated upgrade dry-run,IMPLEMENTED,70,Confirmed by static inspection,.github/workflows/try-runtime-upgrade.yml:60-85 real live dry-run,Not mandatory gate yet (repo's own admission),High,Promote to required check
Backup/restore/snapshot,Ops,Full backup/restore with live-node guard,IMPLEMENTED BUT UNVERIFIED,60,Confirmed by static inspection,scripts/snapshot-restore.sh exit-2 guard,No round-trip test found,High,Automated snapshot/restore/verify drill
