id,subsystem,feature,claimed_behavior,actual_implementation,file_line,runtime_wiring,tests,status,evidence_quality,missing_work,source_domain_file
F001,Consensus/Networking,Aura block production,Real slot-based leader election,"sc_consensus_aura::start_aura, genuine Substrate crate",node/src/service.rs:1059,Wired in all 5 construct_runtime! variants,Not re-run this session,VERIFIED,Confirmed by static inspection,Runtime boot itself not exercised this session,consensus_networking.md
F002,Consensus/Networking,GRANDPA finality,Real BFT finality gadget,"sc_consensus_grandpa run_grandpa_voter, genuine crate",node/src/service.rs:1119,Wired in all runtime variants,Mesh test artifacts (not re-run),VERIFIED (static) / claimed (dynamic),Confirmed by static inspection; dynamic evidence is artifact-based,Multi-host (non-loopback) proof still absent,consensus_networking.md
F003,Consensus/Networking,GRANDPA equivocation detection,Byzantine double-vote reporting,X3EquivocationReportSystem calls check_equivocation_proof (real cryptographic check),runtime/src/lib.rs:160-224,Wired as OnOffenceHandler = X3Consensus,Not independently run,VERIFIED,Confirmed by static inspection,None identified - this path is genuine,consensus_networking.md
F004,Consensus/Networking,Validator-set change / admission,"Enrollment, stake, delegation (per docs)",set_validators is ensure_root-only; no pallet_staking anywhere in runtime,pallets/x3-consensus/src/lib.rs:229-235,SessionManager = X3Consensus,n/a,PARTIAL,Confirmed by static inspection,Permissionless staking/delegation/bonding does not exist,consensus_networking.md
F005,Consensus/Networking,Dev/testnet key insertion,X3_DEV_SEED programmatically inserts Aura+GRANDPA keys,insert_dev_keys_with_seed / maybe_insert_dev_keys,node/src/service.rs:323-365,Called in real node startup path (new_full),n/a,VERIFIED,Confirmed by static inspection,None,consensus_networking.md
F006,Consensus/Networking,Chain-spec / genesis generation,Fresh non-forbidden-seed validator keys per validator,secrets.token_hex(32) real CSPRNG plus subkey derivation,scripts/testnet/build-x3-testnet-spec.py:35,Produces deployment/chain-specs/fresh/x3-testnet-plain.json,n/a,VERIFIED,Confirmed by static inspection,None,consensus_networking.md
F007,Consensus/Networking,Parallel-executor / external-gateway mainnet exclusion,Compile-time compile_error! with mainnet-rc1,"cfg(all(feature=mainnet-rc1, feature=parallel-executor)) compile_error!",pallets/x3-cross-vm-router/src/lib.rs:55-65,Feature flags declared in pallet Cargo.toml,n/a (compile-time),VERIFIED,Confirmed by static inspection,"Guard only exists in this one pallet's crate, not centralized",consensus_networking.md
F008,Consensus/Networking,Byzantine mesh convergence / single-node-loss survival,"8/8 cold-start convergence, 7/7 single-loss survival",Real captured log artifacts with non-uniform realistic peer counts,testnet-audit/mesh-2026-09-04/*,run-mesh.py deterministic node-keys,Artifacts only; not re-executed this session,IMPLEMENTED BUT UNVERIFIED,"Claimed by documentation, corroborated by artifact",Loopback-only; multi-host/NAT/latency unproven,consensus_networking.md
F009,Consensus/Networking,State sync / catch-up / rejoining,Nodes can restart and resync,No custom state-sync crate beyond stock sc-network/sc-service warp-sync,crates/import-queue-wrapper,"Unclear, not exercised",BLOCKED,BLOCKED,Not verified,Would require booting a node and observing sync,consensus_networking.md
F010,Transaction Lifecycle,Standard extrinsic signing/tx pool,Substrate-standard tx pool,Real sc_transaction_pool TransactionPoolHandle,node/src/service.rs:372-390,Wired into service graph,N/A (upstream Substrate),VERIFIED,Confirmed by static inspection,None found,tx_lifecycle.md
F011,Transaction Lifecycle,Cross-VM bridge RPC ingress (x3_submitCrossVmTransaction),Requires signed envelope and proof-hash binding,Rejects raw payloads; verifies lock_proof binding via blake2_256,node/src/rpc.rs:954-1140,Submits real signed UncheckedExtrinsic via tx_pool,No dedicated unit test; exercised by e2e shell script,PARTIAL,Confirmed by static inspection,Add unit/integration test directly for RPC handler,tx_lifecycle.md
F012,Transaction Lifecycle,Wrapped-asset mint via bridge RPC,Implied governed via Council propose call,pallet_collective::Call::propose{threshold:1} auto-executes; single key signs everything,node/src/rpc.rs:1058-1093,Wired with single X3_SUBMITTER_SEED key,Not unit tested at RPC layer,HIGH-01 finding (see findings.json),Confirmed by static inspection,Raise threshold or stop presenting as council-gated,tx_lifecycle.md
F013,Transaction Lifecycle,Nonce-based replay protection,test_duplicate_nonce_rejected,NextNonce/UsedMessages storage enforce monotonicity (test name slightly overclaims),pallets/x3-cross-vm-router/src/tests.rs:1161,Enforced in pallet logic,PASSING,VERIFIED (logic real),Confirmed by execution,None significant,tx_lifecycle.md
F014,Transaction Lifecycle,Message-id replay protection,test_duplicate_message_replay_rejected,State-machine guard rejects re-completion of same message_id,pallets/x3-cross-vm-router/src/tests.rs:575,Enforced via state machine,PASSING,VERIFIED,Confirmed by execution,None,tx_lifecycle.md
F015,Transaction Lifecycle,Expiry / timeout refund,test_expired_transfer_refunds_to_source,cancel_expired_xvm_transfer returns full supply to source leg,pallets/x3-cross-vm-router/src/tests.rs:701,Wired,PASSING,VERIFIED,Confirmed by execution,None,tx_lifecycle.md
F016,Transaction Lifecycle,Fee calculation / gas metering,Standard pallet_transaction_payment,"OnChargeTransaction=CurrencyAdapter, WeightToFee=IdentityFee; EVM side EVMCurrencyAdapter",runtime/src/lib.rs:1084-1094,"Wired, standard Substrate/Frontier pattern",Not independently re-verified live this session,IMPLEMENTED BUT UNVERIFIED,Confirmed by static inspection,Run a live fee-deduction test incl. insufficient-balance rejection,tx_lifecycle.md
F017,Transaction Lifecycle,Custom private mempool / MEV protection,crates/private-mempool exists in workspace,"Declared workspace member, not referenced in node/src/service.rs",Cargo.toml:335,DISCONNECTED from transaction pool,None relevant,DISCONNECTED,Confirmed by static inspection,Wire into pool construction or remove capability claim,tx_lifecycle.md
F018,Transaction Lifecycle,SDK extrinsic construction (TS relayer),"Uses @polkadot/api tx.signAndSend, real SCALE","Imports ApiPromise, builds api.tx call, calls tx.signAndSend",packages/atomic-swap-sdk/src/htlc/substrate.ts:184-270,Real library encoding,Not re-run (no live chain this session),VERIFIED (statically),Confirmed by static inspection,None found,tx_lifecycle.md
