id,feature,subsystem,description,value,status,implemented,wired,tested,executed,reproducible,completion_percent,evidence,runtime_entrypoint,test_coverage,security_significance,dependencies,missing_work,acceptance_criteria,verification_command,estimated_effort,priority
FT01,Aura block production,Consensus,Aura block production,Required to make the advertised protocol or operator path dependable.,IMPLEMENTED BUT UNVERIFIED,1,1,0,0,0,40,node/src/service.rs:1059,node/src/service.rs:1059,No passing production-path evidence in this audit,Safety critical,H18 build closure; relevant finding dependencies,Prove real multi-node authoring and partition recovery.,"Implemented, wired, adversarially tested, executed through the stated entrypoint and reproducible at the frozen source state; Prove real multi-node authoring and partition recovery.",cargo test -p x3-chain-node --lib,L (ordinal estimate; not a delivery promise),P1
FT02,GRANDPA finality and fork choice,Consensus,GRANDPA finality and fork choice,Required to make the advertised protocol or operator path dependable.,IMPLEMENTED BUT UNVERIFIED,1,1,0,0,0,40,node/src/service.rs:601; node/src/service.rs:1136,node/src/service.rs:601,No passing production-path evidence in this audit,Safety critical,H18 build closure; relevant finding dependencies,"Run finality, equivocation and restart tests.","Implemented, wired, adversarially tested, executed through the stated entrypoint and reproducible at the frozen source state; Run finality, equivocation and restart tests.",cargo test --workspace,L (ordinal estimate; not a delivery promise),P1
FT03,Validator rotation,Consensus,Validator rotation,Required to make the advertised protocol or operator path dependable.,PARTIAL,0,1,0,0,0,20,pallets/x3-consensus/src/lib.rs:412,pallets/x3-consensus/src/lib.rs:412,No passing production-path evidence in this audit,Safety critical,H18 build closure; relevant finding dependencies,Fix activation-delay/session mismatch (H05).,"Implemented, wired, adversarially tested, executed through the stated entrypoint and reproducible at the frozen source state; Fix activation-delay/session mismatch (H05).",cargo test --workspace,L (ordinal estimate; not a delivery promise),P1
FT04,Validator bonded stake and slashing,Consensus,Validator bonded stake and slashing,Required to make the advertised protocol or operator path dependable.,PARTIAL,0,1,0,0,0,20,pallets/x3-consensus/src/lib.rs:263,pallets/x3-consensus/src/lib.rs:263,No passing production-path evidence in this audit,Safety critical,H18 build closure; relevant finding dependencies,Authenticate offences and debit real stake; prove session removal (H04).,"Implemented, wired, adversarially tested, executed through the stated entrypoint and reproducible at the frozen source state; Authenticate offences and debit real stake; prove session removal (H04).",cargo test --workspace,L (ordinal estimate; not a delivery promise),P1
FT05,Flash finality,Consensus,Flash finality,Required to make the advertised protocol or operator path dependable.,PARTIAL,0,0,0,0,0,0,crates/flash-finality/src/lib.rs:389; node/src/service.rs:656,crates/flash-finality/src/lib.rs:389,No passing production-path evidence in this audit,Safety critical,H18 build closure; relevant finding dependencies,Authority membership and a working replacement finalizer are required (H06).,"Implemented, wired, adversarially tested, executed through the stated entrypoint and reproducible at the frozen source state; Authority membership and a working replacement finalizer are required (H06).",cargo test --workspace,L (ordinal estimate; not a delivery promise),P1
FT06,Genesis construction and live-seed validation,Consensus,Genesis construction and live-seed validation,Required to make the advertised protocol or operator path dependable.,IMPLEMENTED BUT UNVERIFIED,1,1,0,0,0,40,node/src/chain_spec.rs:760,node/src/chain_spec.rs:760,No passing production-path evidence in this audit,Safety critical,H18 build closure; relevant finding dependencies,Generate and independently validate production spec with actual operator public identities.,"Implemented, wired, adversarially tested, executed through the stated entrypoint and reproducible at the frozen source state; Generate and independently validate production spec with actual operator public identities.",cargo test --workspace,L (ordinal estimate; not a delivery promise),P1
FT07,Signed native transaction path,Transactions,Signed native transaction path,Required to make the advertised protocol or operator path dependable.,IMPLEMENTED BUT UNVERIFIED,1,1,0,0,0,40,runtime/src/lib.rs:850; node/src/rpc.rs:1050,runtime/src/lib.rs:850,No passing production-path evidence in this audit,Safety critical,H18 build closure; relevant finding dependencies,Execute wallet-to-pool-to-finalized-receipt transfer on two nodes.,"Implemented, wired, adversarially tested, executed through the stated entrypoint and reproducible at the frozen source state; Execute wallet-to-pool-to-finalized-receipt transfer on two nodes.",cargo test --workspace,L (ordinal estimate; not a delivery promise),P1
FT08,"Nonce, genesis, era replay checks",Transactions,"Nonce, genesis, era replay checks",Required to make the advertised protocol or operator path dependable.,IMPLEMENTED BUT UNVERIFIED,1,1,0,0,0,40,runtime/src/lib.rs:850,runtime/src/lib.rs:850,No passing production-path evidence in this audit,Safety critical,H18 build closure; relevant finding dependencies,"Exercise wrong-chain, stale era, duplicate and concurrent nonces.","Implemented, wired, adversarially tested, executed through the stated entrypoint and reproducible at the frozen source state; Exercise wrong-chain, stale era, duplicate and concurrent nonces.",cargo test --workspace,L (ordinal estimate; not a delivery promise),P1
FT09,Transaction pool limits and ordering,Transactions,Transaction pool limits and ordering,Required to make the advertised protocol or operator path dependable.,PARTIAL,0,1,0,0,0,20,node/src/service.rs:589; node/src/service.rs:371,node/src/service.rs:589,No passing production-path evidence in this audit,Safety critical,H18 build closure; relevant finding dependencies,Preserve operator limits and measure spam/eviction behavior.,"Implemented, wired, adversarially tested, executed through the stated entrypoint and reproducible at the frozen source state; Preserve operator limits and measure spam/eviction behavior.",cargo test --workspace,L (ordinal estimate; not a delivery promise),P1
FT10,Fee charging and refunds,Transactions,Fee charging and refunds,Required to make the advertised protocol or operator path dependable.,IMPLEMENTED BUT UNVERIFIED,1,1,0,0,0,40,runtime/src/lib.rs:1091,runtime/src/lib.rs:1091,No passing production-path evidence in this audit,Safety critical,H18 build closure; relevant finding dependencies,"Reconcile charged fee, treasury credit, burn and failed-call refunds.","Implemented, wired, adversarially tested, executed through the stated entrypoint and reproducible at the frozen source state; Reconcile charged fee, treasury credit, burn and failed-call refunds.",cargo test --workspace,L (ordinal estimate; not a delivery promise),P1
FT11,Ethereum raw transaction RPC,Transactions,Ethereum raw transaction RPC,Required to make the advertised protocol or operator path dependable.,PARTIAL,0,1,0,0,0,20,node/src/rpc_frontier.rs:457,node/src/rpc_frontier.rs:457,No passing production-path evidence in this audit,Safety critical,H18 build closure; relevant finding dependencies,Replace custom query execution with signed pool submission (H08).,"Implemented, wired, adversarially tested, executed through the stated entrypoint and reproducible at the frozen source state; Replace custom query execution with signed pool submission (H08).",cargo test --workspace,L (ordinal estimate; not a delivery promise),P1
FT12,Canonical FRAME storage,State,Canonical FRAME storage,Required to make the advertised protocol or operator path dependable.,IMPLEMENTED BUT UNVERIFIED,1,1,0,0,0,40,node/src/service.rs:567; runtime/src/lib.rs:834,node/src/service.rs:567,No passing production-path evidence in this audit,Safety critical,H18 build closure; relevant finding dependencies,"Crash/restart, state-root reconstruction and corrupted database drills.","Implemented, wired, adversarially tested, executed through the stated entrypoint and reproducible at the frozen source state; Crash/restart, state-root reconstruction and corrupted database drills.",cargo test --workspace,L (ordinal estimate; not a delivery promise),P1
FT13,Storage upgrade migrations,State,Storage upgrade migrations,Required to make the advertised protocol or operator path dependable.,BLOCKED,1,1,0,0,0,40,runtime/src/lib.rs:826,runtime/src/lib.rs:826,No passing production-path evidence in this audit,Safety critical,H18 build closure; relevant finding dependencies,Run ordered old-schema upgrade and reverse/recovery proofs; full build blocked.,"Implemented, wired, adversarially tested, executed through the stated entrypoint and reproducible at the frozen source state; Run ordered old-schema upgrade and reverse/recovery proofs; full build blocked.",cargo test --workspace,L (ordinal estimate; not a delivery promise),P1
